,Rate
AED,3.651541
AFN,86.577026
ALL,117.141873
AMD,387.913091
ANG,1.76761
AOA,485.384814
ARS,157.704736
AUD,1.546199
AWG,1.791972
AZN,1.690365
BAM,1.957995
BBD,1.98016
BDT,100.728182
BGN,1.958286
BHD,0.369685
BIF,2028.258775
BMD,0.994159
BND,1.385693
BOB,6.777328
BRL,5.00319
BSD,0.98072
BTC,4.7667028e-05
BTN,80.65577
BWP,13.164362
BYN,2.477002
BYR,19485.522555
BZD,1.976857
CAD,1.34463
CDF,2032.061453
CHF,0.989875
CLF,0.033391
CLP,921.346934
CNY,7.169579
COP,4971.622504
CRC,609.394008
CUC,0.994159
CUP,26.345222
CVE,110.389842
CZK,24.394981
DJF,174.591644
DKK,7.440686
DOP,53.047657
DZD,137.534507
EGP,23.758919
ERN,14.91239
ETB,52.349437
EUR,1.0
FJD,2.263154
FKP,0.87737
GBP,0.877231
GEL,2.719028
GGP,0.87737
GHS,13.829501
GIP,0.87737
GMD,60.792642
GNF,8451.823168
GTQ,7.669765
GYD,205.119911
HKD,7.804026
HNL,24.238974
HRK,7.521797
HTG,128.401421
HUF,402.555407
IDR,15586.628557
ILS,3.527889
IMP,0.87737
INR,81.707718
IQD,1431.471283
IRR,42102.646892
ISK,145.495542
JEP,0.87737
JMD,150.900996
JOD,0.705355
JPY,146.311426
KES,119.167172
KGS,83.507491
KHR,4062.062695
KMF,494.644316
KPW,894.743246
KRW,1394.775912
KWD,0.30801
KYD,0.817291
KZT,456.127491
LAK,16997.710113
LBP,1482.857667
LKR,357.503315
LRD,152.876871
LSL,18.282748
LTL,2.935494
LVL,0.601357
LYD,4.926626
MAD,10.812911
MDL,18.978008
MGA,4202.47335
MKD,61.683518
MMK,2059.544431
MNT,3340.151769
MOP,7.928652
MRO,354.914704
MUR,44.886327
MVR,15.339583
MWK,1006.682973
MXN,19.435516
MYR,4.716319
MZN,63.456953
NAD,18.088737
NGN,436.813509
NIO,35.300484
NOK,10.219764
NPR,129.040955
NZD,1.686258
OMR,0.383929
PAB,0.980789
PEN,3.896128
PGK,3.455608
PHP,58.126513
PKR,217.723217
PLN,4.68761
PYG,7115.903319
QAR,3.619688
RON,4.876548
RSD,117.1217
RUB,61.165625
RWF,1047.569882
SAR,3.733566
SBD,8.18252
SCR,14.454079
SDG,565.180418
SEK,10.852338
SGD,1.398887
SHP,1.369354
SLL,17551.883038
SOS,564.682308
SRD,29.620958
STD,20577.090601
SVC,8.58136
SYP,2497.855135
SZL,17.806726
THB,37.171119
TJS,9.92062
TMT,3.489499
TND,3.220746
TOP,2.41526
TRY,18.494143
TTD,6.654592
TWD,31.863303
TZS,2287.125515
UAH,36.038907
UGX,3712.361039
USD,0.994159
UYU,39.766362
UZS,10918.663558
VND,24726.233379
VUV,124.41893
WST,2.828321
XAF,656.653386
XAG,0.048306
XAU,0.000594
XCD,2.686766
XDR,0.770305
XOF,656.640162
XPF,120.343012
YER,248.788573
ZAR,17.867001
ZMK,8948.563589
ZMW,15.949694
ZWL,320.118894
